Field,ID,Type (Type),default,en-us,zh-hans-cn,zh-hant-tw,zh,zh-cn,zh-hk,zh-mo,zh-hans,zh-hans-sg,zh-sg,zh-tw,zh-hant,zh-hant-hk,zh-hant-mo
Description,2,Text,,"Confy is a structural editor for TOML, JSON, JSONC, and YAML configuration files — it treats your config as a tree, not as text.

Browse a live outline of keys, tables, arrays, and comments, and edit exactly the node you want: rename a key, change a value's type, drag a subtree to a new parent, or convert an entire file from TOML to YAML — all without touching anything you didn't ask for.

Every edit is lossless: comments, whitespace, and formatting are preserved exactly as you left them, so an untouched file round-trips byte-for-byte identical. Every change is atomic and fully undoable — a failed edit never corrupts your file.

Key features:
• Structural tree view for TOML, JSON, JSONC, and YAML — browse and edit any node in place
• Lossless round-trips: comments are first-class, editable nodes, never lost or reordered
• Type-safe ""kind switching"" — arrays ↔ inline tables, quote styles, number formats, and more
• Convert between TOML, JSON/JSONC, and YAML with a full loss-warning report before anything is written
• JSON Schema awareness — auto-detects $schema hints and flags violations live while you edit
• Fuzzy search & type filter, multi-select, drag-and-drop, clipboard cut/copy/paste
• Full undo/redo history — every mutation is atomic
• Terminal mode included: run ""confy file.toml"" in any terminal for the same editor in your shell
• English and 繁體中文 interfaces, switchable at runtime
• Runs entirely offline — no telemetry, no data collection, no accounts

Confy is open source (MIT) and built for developers who work with configuration files every day and want precise, safe edits without hand-rolling text diffs.","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款适用于 TOML、JSON、JSONC 和 YAML 配置文件的结构化编辑器——它将你的配置视为树状结构，而非纯文本。

浏览由键、表、数组和注释组成的实时大纲，精确编辑你想编辑的节点：重命名键、更改值的类型、将子树拖拽至新的父节点，或将整个文件从 TOML 转换为 YAML——绝不更动你未指定的任何内容。

每次编辑都是无损的：注释、空白字符和格式都会原封不动地保留，未修改的文件可逐字节完整往返。每次更改都是原子性且可完全撤销——失败的编辑绝不会损坏你的文件。

主要功能：
• TOML、JSON、JSONC 和 YAML 的结构化树状视图——就地浏览和编辑任何节点
• 无损往返：注释是可编辑的一级节点，绝不丢失或被重新排序
• 类型安全的“kind 切换”——数组 ↔ 内联表格、引号样式、数字格式等
• 在 TOML、JSON/JSONC 和 YAML 之间相互转换，写入前提供完整的损耗警告报告
• JSON Schema 感知——自动检测 $schema 提示，并在编辑时实时标记违规项目
• 模糊搜索和类型筛选、多选、拖放、剪贴板剪切/复制/粘贴
• 完整的撤销/重做历史——每次更改都是原子性
• 内置终端模式：在任何终端运行 ""confy file.toml""，即可在 shell 中使用相同的编辑器
• English 和繁體中文界面，运行时可随时切换
• 完全离线运行——无遥测、不收集数据、无需账户

Confy 为开源软件（MIT 许可），专为每天处理配置文件、希望精确且安全地编辑而无需手写文本差异的开发者而设计。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。","Confy 是一款適用於 TOML、JSON、JSONC 與 YAML 設定檔的結構化編輯器——它將你的設定檔視為樹狀結構，而非純文字。

瀏覽由索引鍵、表格、陣列與註解組成的即時大綱，精確編輯你想編輯的節點：重新命名索引鍵、變更值的型別、將子樹拖曳至新的父節點，或將整個檔案從 TOML 轉換為 YAML——絕不更動你未指定的任何內容。

每次編輯都是無損的：註解、空白字元與格式都會原封不動地保留，未修改的檔案可逐位元組完整往返。每次變更都是原子性且可完全復原——失敗的編輯絕不會損毀你的檔案。

主要功能：
• TOML、JSON、JSONC 與 YAML 的結構化樹狀檢視——就地瀏覽與編輯任何節點
• 無損往返：註解是可編輯的第一級節點，絕不遺失或被重新排序
• 型別安全的「kind 切換」——陣列 ↔ 行內表格、引號樣式、數字格式等
• 在 TOML、JSON/JSONC 與 YAML 之間相互轉換，寫入前提供完整的損耗警告報告
• JSON Schema 感知——自動偵測 $schema 提示，並在編輯時即時標記違規項目
• 模糊搜尋與型別篩選、多選、拖放、剪貼簿剪下/複製/貼上
• 完整的復原/重做歷史——每次變更都是原子性
• 內建終端機模式：在任何終端機執行 ""confy file.toml""，即可在 shell 中使用相同的編輯器
• English 與繁體中文介面，執行時可隨時切換
• 完全離線運作——無遙測、不收集資料、不需帳戶

Confy 為開源軟體（MIT 授權），專為每天處理設定檔、希望精確且安全地編輯而無需手寫文字差異的開發者而設計。"
ReleaseNotes,3,Text,,"What's new in 0.30.1

• Fixed: the ""cut"" toast could replay its animation on every click or navigation while a cut/paste was still armed. The confirmed paste target now has its own clear visual highlight, separate from the mouse-hover preview, so you no longer need to move the mouse away to see exactly where the paste landed.","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新内容

• 问题修复：在剪切/粘贴仍处于待命状态时，""已剪切""提示可能会在每次点击或导航时重播动画。已确认的粘贴目标现在有独立、清晰的视觉高亮，与鼠标悬停预览分开，无需再把鼠标移开即可看清粘贴的确切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。","0.30.1 版更新內容

• 問題修正：在剪下/貼上仍處於待命狀態時，「已剪下」提示可能會在每次點擊或導覽時重播動畫。已確認的貼上目標現在有獨立、清楚的視覺標示，與滑鼠懸停預覽分開，不需再把滑鼠移開即可看清貼上的確切位置。"
Title,4,Text,,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor,Confy — TOML/JSON/YAML Editor
ShortTitle,5,Text,,,,,,,,,,,,,,,
SortTitle,6,Text,,,,,,,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,,,,,,,
ShortDescription,8,Text,,"A lossless structural editor for TOML, JSON, JSONC, and YAML config files — edit the tree, not raw text, with comments and formatting fully preserved.",一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款无损的结构化编辑器，适用于 TOML、JSON、JSONC 和 YAML 配置文件——直接编辑树状结构，而非纯文本，并完整保留注释与格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。,一款無損的結構化編輯器，適用於 TOML、JSON、JSONC 與 YAML 設定檔——直接編輯樹狀結構，而非純文字，並完整保留註解與格式。
DevStudio,9,Text,,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio,WenanLin Studio
CopyrightTrademarkInformation,12,Text,,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio,© 2026 WenanLin Studio
AdditionalLicenseTerms,13,Text,,,,,,,,,,,,,,,
